2020-02-15_CloseContact,2020-02-15_Confirmed,2020-02-15_Critical,2020-02-15_Cured,2020-02-15_Dead,2020-02-15_Obse,2020-02-15_Severe,2020-02-15_UnObse,2020-02-14_CloseContact,2020-02-14_Confirmed,2020-02-14_Critical,2020-02-14_Cured,2020-02-14_Dead,2020-02-14_Obse,2020-02-14_Severe,2020-02-14_UnObse,2020-02-13_CloseContact,2020-02-13_Confirmed,2020-02-13_Critical,2020-02-13_Cured,2020-02-13_Dead,2020-02-13_Obse,2020-02-13_Severe,2020-02-13_UnObse,2020-02-12_CloseContact,2020-02-12_Confirmed,2020-02-12_Critical,2020-02-12_Cured,2020-02-12_Dead,2020-02-12_Obse,2020-02-12_Severe,2020-02-12_UnObse,2020-02-11_CloseContact,2020-02-11_Confirmed,2020-02-11_Critical,2020-02-11_Cured,2020-02-11_Dead,2020-02-11_Obse,2020-02-11_Severe,2020-02-11_UnObse,2020-02-10_CloseContact,2020-02-10_Confirmed,2020-02-10_Critical,2020-02-10_Cured,2020-02-10_Dead,2020-02-10_Obse,2020-02-10_Severe,2020-02-10_UnObse,2020-02-09_CloseContact,2020-02-09_Confirmed,2020-02-09_Critical,2020-02-09_Cured,2020-02-09_Dead,2020-02-09_Obse,2020-02-09_Severe,2020-02-09_UnObse,2020-02-08_CloseContact,2020-02-08_Confirmed,2020-02-08_Critical,2020-02-08_Cured,2020-02-08_Dead,2020-02-08_Obse,2020-02-08_Severe,2020-02-08_UnObse,2020-02-07_CloseContact,2020-02-07_Confirmed,2020-02-07_Critical,2020-02-07_Cured,2020-02-07_Dead,2020-02-07_Obse,2020-02-07_Severe,2020-02-07_UnObse,2020-02-06_CloseContact,2020-02-06_Confirmed,2020-02-06_Critical,2020-02-06_Cured,2020-02-06_Dead,2020-02-06_Obse,2020-02-06_Severe,2020-02-06_UnObse,2020-02-05_CloseContact,2020-02-05_Confirmed,2020-02-05_Critical,2020-02-05_Cured,2020-02-05_Dead,2020-02-05_Obse,2020-02-05_Severe,2020-02-05_UnObse,2020-02-04_CloseContact,2020-02-04_Confirmed,2020-02-04_Critical,2020-02-04_Cured,2020-02-04_Dead,2020-02-04_Obse,2020-02-04_Severe,2020-02-04_UnObse,2020-02-03_CloseContact,2020-02-03_Confirmed,2020-02-03_Critical,2020-02-03_Cured,2020-02-03_Dead,2020-02-03_Obse,2020-02-03_Severe,2020-02-03_UnObse,2020-02-02_CloseContact,2020-02-02_Confirmed,2020-02-02_Critical,2020-02-02_Cured,2020-02-02_Dead,2020-02-02_Obse,2020-02-02_Severe,2020-02-02_UnObse,2020-02-01_CloseContact,2020-02-01_Confirmed,2020-02-01_Critical,2020-02-01_Cured,2020-02-01_Dead,2020-02-01_Obse,2020-02-01_Severe,2020-02-01_UnObse,2020-01-31_CloseContact,2020-01-31_Confirmed,2020-01-31_Critical,2020-01-31_Cured,2020-01-31_Dead,2020-01-31_Obse,2020-01-31_Severe,2020-01-31_UnObse,2020-01-30_CloseContact,2020-01-30_Confirmed,2020-01-30_Critical,2020-01-30_Cured,2020-01-30_Dead,2020-01-30_Obse,2020-01-30_Severe,2020-01-30_UnObse,2020-01-29_CloseContact,2020-01-29_Confirmed,2020-01-29_Critical,2020-01-29_Cured,2020-01-29_Dead,2020-01-29_Obse,2020-01-29_Severe,2020-01-29_UnObse,2020-01-28_CloseContact,2020-01-28_Confirmed,2020-01-28_Critical,2020-01-28_Cured,2020-01-28_Dead,2020-01-28_Obse,2020-01-28_Severe,2020-01-28_UnObse,2020-01-27_CloseContact,2020-01-27_Confirmed,2020-01-27_Critical,2020-01-27_Cured,2020-01-27_Dead,2020-01-27_Obse,2020-01-27_Severe,2020-01-27_UnObse,2020-01-26_CloseContact,2020-01-26_Confirmed,2020-01-26_Critical,2020-01-26_Cured,2020-01-26_Dead,2020-01-26_Obse,2020-01-26_Severe,2020-01-26_UnObse,2020-01-25_CloseContact,2020-01-25_Confirmed,2020-01-25_Critical,2020-01-25_Cured,2020-01-25_Dead,2020-01-25_Obse,2020-01-25_Severe,2020-01-25_UnObse,2020-01-24_CloseContact,2020-01-24_Confirmed,2020-01-24_Critical,2020-01-24_Cured,2020-01-24_Dead,2020-01-24_Obse,2020-01-24_Severe,2020-01-24_UnObse,2020-01-23_CloseContact,2020-01-23_Confirmed,2020-01-23_Critical,2020-01-23_Cured,2020-01-23_Dead,2020-01-23_Obse,2020-01-23_Severe,2020-01-23_UnObse,2020-01-22_CloseContact,2020-01-22_Confirmed,2020-01-22_Critical,2020-01-22_Cured,2020-01-22_Dead,2020-01-22_Obse,2020-01-22_Severe,2020-01-22_UnObse,2020-01-21_CloseContact,2020-01-21_Confirmed,2020-01-21_Critical,2020-01-21_Cured,2020-01-21_Dead,2020-01-21_Obse,2020-01-21_Severe,2020-01-21_UnObse,2020-01-20_CloseContact,2020-01-20_Confirmed,2020-01-20_Critical,2020-01-20_Cured,2020-01-20_Dead,2020-01-20_Obse,2020-01-20_Severe,2020-01-20_UnObse,2020-01-19_CloseContact,2020-01-19_Confirmed,2020-01-19_Critical,2020-01-19_Cured,2020-01-19_Dead,2020-01-19_Obse,2020-01-19_Severe,2020-01-19_UnObse,2020-01-18_CloseContact,2020-01-18_Confirmed,2020-01-18_Critical,2020-01-18_Cured,2020-01-18_Dead,2020-01-18_Obse,2020-01-18_Severe,2020-01-18_UnObse,2020-01-17_CloseContact,2020-01-17_Confirmed,2020-01-17_Critical,2020-01-17_Cured,2020-01-17_Dead,2020-01-17_Obse,2020-01-17_Severe,2020-01-17_UnObse,2020-01-16_CloseContact,2020-01-16_Confirmed,2020-01-16_Critical,2020-01-16_Cured,2020-01-16_Dead,2020-01-16_Obse,2020-01-16_Severe,2020-01-16_UnObse,2020-01-15_CloseContact,2020-01-15_Confirmed,2020-01-15_Critical,2020-01-15_Cured,2020-01-15_Dead,2020-01-15_Obse,2020-01-15_Severe,2020-01-15_UnObse
1,71,4,11,1,5168,10,1,1,70,4,6,1,4739,11,1,1,65,4,6,1,4622,10,1,1,63,4,3,1,4479,10,1,1,59,5,3,0,4133,10,1,3842,55,5,0,0,3842,11,0,3278,49,4,0,0,3278,12,0,3049,45,3,0,0,3049,10,0,2942,42,2,0,0,2942,9,0,2392,39,2,0,0,2392,7,0,2210,36,1,0,0,2210,8,0,1929,32,2,0,0,1929,8,0,1592,29,2,0,0,1592,6,0,1254,24,2,0,0,1254,6,0,1151,21,1,0,0,1151,4,0,902,18,1,0,0,902,4,0,0,17,1,0,0,0,3,0,510,14,1,0,0,492,3,18,307,13,0,0,0,298,4,9,204,10,0,0,0,195,2,9,204,5,0,0,0,204,1,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,32,0,0,0,1,0,0,0,32,0,1,0,0,0,0,0,32,0,1,0,0,0,0,0,32,0,1,0,0,0,0,0,32,0,1,0,0,0,0,0,32,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,5,5,0,988,3,1,1252,58,5,5,0,1252,3,484,1252,58,5,5,0,1252,3,484,1297,58,0,4,0,1297,0,399,1451,52,0,4,0,1338,0,113,1289,50,0,3,0,1289,0,345,1289,50,0,3,0,1289,0,345,1321,46,0,0,0,1171,0,150,1181,42,0,0,0,1130,0,51,1156,35,0,0,0,1094,0,60,1129,34,2,0,0,1129,2,30,1110,27,2,0,0,1108,2,2,634,23,2,0,0,581,3,53,0,20,3,0,0,0,2,0,490,18,2,0,0,490,2,0,396,16,1,0,0,0,1,0,334,13,0,0,0,0,0,0,222,11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,18,1,13,0,311,2,126,437,18,1,11,0,328,2,109,437,18,1,11,0,341,3,96,436,18,1,9,0,366,3,70,435,18,1,5,0,367,3,68,435,18,0,3,0,384,3,51,433,18,0,3,0,388,1,45,419,18,0,3,0,378,1,41,411,18,0,3,0,370,1,41,372,18,0,3,0,336,1,16,372,18,0,3,0,336,1,16,331,17,0,0,0,324,1,10,284,15,0,0,0,281,1,3,264,13,0,0,0,263,1,1,141,9,0,0,0,138,1,3,135,9,0,0,0,135,1,0,0,8,0,0,0,0,1,0,81,6,0,0,0,0,0,3,76,6,0,0,0,74,0,0,40,6,0,0,0,192,0,0,14,4,0,0,0,99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4907,470,17,115,1,4907,0,11185,5296,463,17,105,1,5296,0,10280,5480,451,17,93,1,5480,0,9223,5805,436,17,85,1,5805,0,8082,6104,417,17,82,1,6104,0,6720,6912,405,18,76,1,6912,0,5332,7207,386,21,60,1,7298,0,4253,7207,363,20,50,1,7207,0,2612,7226,344,19,37,1,7226,0,2612,6393,321,18,27,1,6393,0,1446,6393,301,14,23,1,6393,0,1446,6623,282,13,14,1,6176,0,622,6623,254,9,12,1,6001,0,622,5038,231,5,3,1,5038,0,334,4425,207,4,3,1,3980,0,445,4214,177,4,1,1,0,0,345,2931,142,2,1,1,2828,0,103,1617,108,3,0,0,1488,0,129,0,90,2,0,0,1264,0,80,0,69,3,0,0,835,0,12,0,44,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12787,395,1,31,9,4360,62,8603,12736,378,1,28,8,4606,63,8024,10800,360,1,27,8,4348,52,6492,9922,331,0,15,7,4445,44,5516,8704,307,1,13,6,4239,45,4465,7965,227,1,12,5,4121,38,3817,6323,227,1,7,3,3247,24,2649,6323,227,1,7,3,3247,24,2649,5609,190,1,4,2,3042,21,2206,4926,155,1,2,2,3094,17,1627,4089,118,1,2,2,2595,15,1329,2931,95,0,2,2,2807,13,1008,2530,80,0,0,2,1753,12,648,1869,59,0,0,2,1389,7,462,1470,43,0,0,1,1106,6,273,978,37,0,0,1,813,4,165,594,30,0,0,1,516,3,78,594,21,0,0,1,516,3,78,0,15,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3746,90,1,39,2,921,6,2825,3426,86,1,24,2,931,7,2495,3337,86,1,21,2,966,7,2371,3075,83,1,16,2,928,6,2147,2968,79,1,12,1,1049,7,1919,2669,71,2,9,0,1114,7,1555,2433,67,3,9,0,1295,5,1138,2104,62,3,6,0,1336,5,768,1784,57,3,4,0,1309,7,475,1584,55,2,3,0,1311,7,273,1271,51,1,3,0,1150,4,121,1125,40,1,0,0,1046,2,79,931,35,1,0,0,886,5,45,700,29,1,0,0,654,5,46,556,26,0,0,0,546,6,10,388,24,0,0,0,380,3,8,277,19,0,0,0,275,4,2,199,14,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,169,1,1,1,2564,13,400,1,168,2,35,1,2747,14,563,314,162,2,27,1,3055,15,314,3059,156,2,27,1,1,15,1,2984,141,3,18,0,2984,14,4589,3275,149,3,19,0,3275,15,5158,2984,141,3,18,0,2984,14,4589,2990,140,3,17,0,2990,14,4135,3099,138,3,12,0,3099,15,3441,3281,135,2,7,0,3281,16,2781,3670,128,2,5,0,3670,13,2131,3670,122,3,5,0,3670,13,1606,3936,117,3,5,0,3936,7,868,3592,109,3,3,0,3592,7,523,3279,99,3,2,0,3279,6,0,2642,91,3,1,0,2642,5,0,2846,80,3,0,0,0,5,0,1857,70,1,0,0,0,6,0,874,51,1,0,0,0,5,0,496,26,0,0,0,0,1,0,181,19,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14564,237,6,46,2,1990,3,1,14280,235,6,40,2,2397,6,1,13811,226,5,35,2,3237,11,1,13075,222,7,33,2,3256,7,1,12519,222,8,31,1,3803,6,1,11870,215,8,30,1,4036,6,1,11025,210,9,18,1,3911,5,1,9701,195,8,18,1,3985,6,1,8877,183,8,17,0,4072,7,1,8008,172,6,17,0,4099,9,1,7067,168,3,14,0,3845,12,1,6469,150,4,10,0,3972,10,1,5644,139,4,7,0,3626,8,1,5054,127,3,2,0,3632,5,1,4223,111,2,2,0,3119,6,1,3487,100,3,2,0,2700,7,0,1913,87,2,2,0,1564,5,0,0,78,2,2,0,0,5,0,492,58,0,2,0,455,5,26,492,51,0,0,0,455,5,26,410,46,0,0,0,6,3,397,0,33,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25691,1004,1,430,3,4289,137,21402,25375,1001,1,389,2,4734,134,20641,23906,968,1,312,2,6336,127,17570,23906,968,1,312,2,6336,127,17570,23698,946,1,263,2,6785,125,16913,22969,912,62,213,1,7286,122,15683,22289,879,0,186,1,8135,117,14154,21385,838,0,159,1,8575,60,12810,20119,803,57,119,0,9341,106,10778,19031,772,57,91,0,9890,95,9141,17020,711,61,56,0,10012,93,7008,14840,661,57,35,0,9885,77,4955,13101,593,51,22,0,9931,73,3170,11593,521,47,16,0,9319,58,2274,9599,463,0,8,0,8246,56,1353,7708,389,0,3,0,6960,35,748,5990,332,0,2,0,5602,48,388,4434,277,0,0,0,4297,38,137,3307,221,0,0,0,3212,38,95,2387,143,0,0,0,2336,31,51,1715,100,0,0,0,1697,22,18,0,69,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
